Text_Clean,Latitude,Longitude,Country,coordinates,city
"thats tonight sorted then a fancy tipple 
 tgc  thegarethclark  britishbarbers  ukbarber  ",51.6062519,-1.2374379,GB,"[51.6062519, -1.2374379]",Oxfordshire
angel road station  nothing exciting or unusual but been stuck here for  minutes due to  ,51.6118,-0.0495,GB,"[51.6118, -0.0495]",Greater London
 today super proud to be a brit       happy birthday        queenelizabeth at bristol united  ,51.45,-2.58333,GB,"[51.45, -2.58333]",City of Bristol
off to helsinki at london  lhr in hounslow london ,51.46971536,-0.45988083,GB,"[51.46971536, -0.45988083]",Greater London
these little beauties with purple transitions in the yellow pair will be donned in miami soon  ,53.9930188,-1.5459352,GB,"[53.9930188, -1.5459352]",North Yorkshire
first time went broke i aint seen nobody at croydon united kingdom ,51.3727,-0.1099,GB,"[51.3727, -0.1099]",Greater London
 bhiva currently listening to the great art debate,53.4772745,-2.2468294,GB,"[53.4772745, -2.2468294]",Greater Manchester
the founders assembly at mondrian london    in london ,51.5083356,-0.10676096,GB,"[51.5083356, -0.10676096]",Greater London
images show planned northampton power station would  dominate  skyline   northants ,52.39170171,-0.53782683,GB,"[52.39170171, -0.53782683]",Northamptonshire
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa rising slowly,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
edinburgh castle at edinburgh united kingdom ,55.9494,-3.1603,GB,"[55.9494, -3.1603]",Edinburgh
 now arrested as part of special police sweep on merseyside   manchester ,53.47378058,-2.29729886,GB,"[53.47378058, -2.29729886]",Greater Manchester
video  the queen s life in  pictures   happy birthday to hrh   warwickshire,52.28433064,-1.53577253,GB,"[52.28433064, -1.53577253]",Warwickshire
northampton man avoids jail after second conviction for viewing indecent images    northants ,52.39170171,-0.53782683,GB,"[52.39170171, -0.53782683]",Northamptonshire
grieving partner s tribute to murdered  spalding mum   lincs ,53.08306926,0.14451541,GB,"[53.08306926, 0.14451541]",Lincolnshire
happy birthday  lincolnshire celebrates the queens th   lincs,53.08306926,0.14451541,GB,"[53.08306926, 0.14451541]",Lincolnshire
 thats a very big if ,50.347818,-4.775394,GB,"[50.347818, -4.775394]",Cornwall
nice great tyre mark after being carted into by yet another fucking pavement hogging cyclist   ,51.51365977,-0.08815014,GB,"[51.51365977, -0.08815014]",Greater London
im at manchester central in manchester greater manchester ,53.47624708,-2.24709034,GB,"[53.47624708, -2.24709034]",Greater Manchester
what a pleasure to listen to the funny and frank  in conversation with the  ,51.38,-2.36,GB,"[51.38, -2.36]",Bath and North East Somerset
afternoon commute   towerbridge  globalicons  history  london  bridge  lovelondon  walking  ,51.50514919,-0.07558474,GB,"[51.50514919, -0.07558474]",Greater London
all prepared physically not so much mentally for   year olds to descend on the farm for a  ,51.21193785,-0.90937614,GB,"[51.21193785, -0.90937614]",Hampshire
"arriving to a fine weather in  edinburgh  scotland     

 architecture  building  travel  ",55.94961822,-3.19113867,GB,"[55.94961822, -3.19113867]",Edinburgh
cant wait to be back at kirkstall abbey delivering our  childfriendly experiences  the first of  ,53.82054,-1.60806,GB,"[53.82054, -1.60806]",West Yorkshire
another tough session today with     pt  calasthenics  pullups  ropepressup  ouch  ,51.4557174,-0.19285,GB,"[51.4557174, -0.19285]",Greater London
magic america by blur is  nowplaying in anytime fitness demo ,51.64318864,-0.4324542,GB,"[51.64318864, -0.4324542]",Hertfordshire
